Ship Mode;First Class;;;Same Day;;;Second Class;;;Standard Class;;
27-Dec-13;;;;;;;;;;;521,92;
16-Dec-13;;;;;;;;1015,816;;;;
12-Aug-13;286,65;;;;;;;;;;;
23-Dec-13;;;;;;;619,848;;;;;
16-Apr-13;;;;;;;;;;;39,072;
06-Dec-13;;;;;;;;;;42,208;;
03-Mar-13;;;;;;;19,456;;;;;
30-Apr-13;;;;;;;47,79;;;;;
12-Aug-13;;;;;;;;;;;;457,744
08-Aug-13;;;;;;;155,456;;;;;
16-Mar-13;;;;;;;;;471,92;;;
05-Jul-13;514,03;;;;;;;;;;;
19-Nov-13;;;;;;;;;682,91;;;
19-Apr-13;;;;;;;129,33;;;;;
09-May-13;;;;;158,71;;;;;;;
14-Sep-13;;;;;;;;;;149,56;;
07-Dec-13;;;;;;;;;;105,52;;
30-Apr-13;1000,95;;;;;;;;;;;
02-Apr-13;;;;;;;;;;;177,68;
01-Jul-13;;;;;;;;;;;581,104;
14-Nov-13;;;;;;;;;;32,4;;
13-Jan-13;;;;;;;;1287,26;;;;
28-Nov-13;;;;;;;;;;14,67;;
21-Mar-13;;;;;;;;;;;3769,56;
08-Sep-13;;116,85;;;;;;;;;;
02-Apr-13;;;;;;;;;;1220,67;;
23-Mar-13;9,912;;;;;;;;;;;
12-Nov-13;;;;;;;;7,872;;;;
03-Nov-13;;;;;;;;;;1395,673;;
07-Apr-13;;;;;;259,29;;;;;;
31-May-13;;;;;;;;;;773,7;;
05-May-13;;;;;;;40,54;;;;;
30-Dec-13;39,128;;;;;;;;;;;
06-Jan-13;;;;;;;;;;;;4374,88
09-Aug-13;;;;;;;;;;;193,936;
06-Jun-13;;;;;;;;;;63,381;;
20-Oct-13;;426,942;;;;;;;;;;
29-Aug-13;;;;;;;709,0425;;;;;
16-May-14;;;;;;255,968;;;;;;
06-Apr-14;;;;;;;;;;47,952;;
09-Jun-14;;;;;;;;;;175,32;;
22-Sep-14;;;;;;;;;;;;763,508
24-Aug-14;;;;;;;;;;3747,93;;
15-Sep-14;;;;;;;;;;1918,79;;
18-Apr-14;106,5;;;;;;;;;;;
21-Nov-14;18,176;;;;;;;;;;;
03-Feb-14;;;;;;;;;;74,52;;
24-Jul-14;;;;;;;;;;;;525,95
28-Jun-14;;;;;;;;;;;;260,31
26-Mar-14;;;;;;;;;;;74,352;
27-Dec-14;;;;;;;;;;;284,44;
06-Feb-14;;176,63;;;;;;;;;;
12-Jun-14;;;;;;;;;;55,984;;
04-Jan-14;;;;;;;;;;;192,22;
13-Jun-14;;;;;;;;;;;976,29;
07-Nov-14;;;;;;;;;;;1361,631;
23-Jun-14;;;;;;;;;;;268,4;
21-Apr-14;;;;;;;;;;893,09;;
01-Nov-14;;;;;;;;;;301,96;;
08-Nov-14;;;;;;;;;;;81,135;
08-Nov-14;;;;;;;750,93;;;;;
31-Dec-14;;;;;;;;596,48;;;;
25-May-14;;;;;;;;467,04;;;;
04-Dec-14;;;;;;;;;;8,226;;
09-Mar-14;;;;;;;4,608;;;;;
09-Jun-14;;;;;;;;;;;;113,1
13-Nov-14;;;;;;;;;;115,296;;
02-Jul-14;;;;;;;;;;27,504;;
21-Dec-14;;;;;;;;;;78,192;;
12-Nov-14;;;;;;;;;;;792,508;
13-Oct-14;;;;;;;;;;371,66;;
13-Nov-14;;;;;;;;;;84,96;;
05-Oct-14;;;;;;;;;;;;75,04
19-Sep-14;;;;;;;;;61,96;;;
26-Jun-14;;;;;;;;;;535,36;;
28-Jan-14;;;;;;;4297,644;;;;;
05-Jul-14;;;;;;;;12,158;;;;
23-Dec-14;194,32;;;;;;;;;;;
22-Mar-14;;;;598,352;;;;;;;;
05-Nov-14;;;;;;;;;;387,136;;
13-Sep-14;;;;;;;;;;199,86;;
09-Jan-14;;;;;;;;;;364,07;;
14-Dec-14;;;;;;;;3,76;;;;
11-Aug-14;;;;;;;;;;46,152;;
13-Aug-14;;;;;;;;;;5,64;;
21-Mar-14;;;;;;;;;;1270,379;;
25-Sep-14;;;;;;;;;;;22,549;
22-Mar-14;;;;;;;;;;;19,56;
11-Jun-14;;3165,744;;;;;;;;;;
21-Aug-14;;;;;;;;;;;53,28;
26-Apr-14;;;;;;;;;;194,1395;;
03-Dec-14;;;;;;;;;;288,85;;
21-Jun-14;;;;;;;;;;107,976;;
14-Dec-14;;;;;;;;;;;62,46;
11-Apr-14;;;;;;;;;;121,888;;
02-Oct-14;;;;;;;;;;;;7,38
27-Sep-14;;;;;;;;;;2026,78;;
14-Sep-14;;;;;;;269,49;;;;;
12-Mar-14;;;;;;;;;;;45,976;
03-Jul-14;;;;;;;;;;365,91;;
24-Jan-14;;;;;;;;;;;;13,12
09-Oct-14;;;;;;;;;;30,84;;
23-Mar-14;59,48;;;;;;;;;;;
05-Nov-14;;;;;;;;;;;207;
30-Oct-14;182,91;;;;;;;;;;;
18-Jun-14;;;;;;;;;;1046,47;;
13-Aug-14;;64,68;;;;;;;;;;
06-Sep-14;;;;;;;;;3,444;;;
16-Mar-14;;;;;;;498,93;;;;;
10-Oct-14;;;;;;;;;;1801,632;;
27-Dec-14;;;;;;;;;;105,42;;
07-Dec-14;;;;;;;;;;436,86;;
22-Sep-14;;;;;;;;;80,38;;;
05-Sep-14;;;;;;;;;;;;67,96
13-Nov-14;;;;;;;;;;233,064;;
31-May-14;;;;10,272;;;;;;;;
31-Mar-14;;;;;;;;;;;79,96;
13-Jun-14;;;;;;;;;;;6,48;
16-Apr-14;2298,9;;;;;;;;;;;
13-Sep-14;;;;;;;;;;13,092;;
02-Nov-14;197,72;;;;;;;;;;;
02-Jul-14;;246,364;;;;;;;;;;
30-Nov-14;;;;;;;;;89,36;;;
17-Sep-14;;;;;;;;;;87,168;;
30-Nov-14;440,144;;;;;;;;;;;
20-Sep-14;;;;;;;;;;1664,132;;
20-Dec-14;;;;;;;;;;;;11,696
18-Sep-14;;;;;;;;717,12;;;;
04-Sep-14;;;;;;;;;;919,49;;
24-Sep-14;;;;;;;;;;517,5;;
19-Mar-14;;;;;;;;;;14,496;;
25-Dec-14;;;;;;;;;;19,584;;
15-Nov-14;;;;;;;;;;;;39,96
16-Mar-14;;;;;;;;;;6412,77;;
18-Jun-14;;;;;;;;;;;13,632;
19-Sep-14;;;;;;;;;;;66,36;
07-Feb-14;;;;;;;;;;;324,11;
07-May-14;;;;;;;;;;45,68;;
12-Mar-14;;;;;;;;;;5,04;;
22-Nov-14;32,985;;;;;;;;;;;
20-Apr-14;;;;;;;;;;;896,31;
03-Sep-14;;;;;;;;;;;200,984;
15-Dec-14;;;;;;;;;;;246,168;
11-Dec-14;196,62;;;;;;;;;;;
29-Mar-14;;;;;;;5,56;;;;;
17-Jan-14;;;;;;;;;;88,96;;
08-Sep-14;;;;;;;;;;;21,36;
18-Dec-14;;;;;;;;;;;94,688;
01-Mar-14;;;;;;;58,72;;;;;
20-May-14;;;;;;;;;;169,544;;
29-Mar-14;;;;;;;;;1166,92;;;
09-Jul-14;;;;;;;;;;5,16;;
06-Dec-14;;;;;;;173,94;;;;;
25-Jul-14;;;;;;;;;;;457,04;
14-Nov-14;;860,07;;;;;;;;;;
23-May-14;;;;;;;;;;;186,69;
23-Oct-14;;;;78,456;;;;;;;;
09-Aug-14;;;;;;;;;;;4,608;
04-Dec-14;;;;;;;1635,018;;;;;
09-May-14;;;;;;;;;;48,81;;
30-Nov-14;;;;;;;;;;177,48;;
18-Jun-14;;670,001;;;;;;;;;;
20-Dec-14;;;;;;;;;;36,27;;
30-Nov-14;;17,088;;;;;;;;;;
21-Sep-14;;;;;;;;;;3631,96;;
27-Nov-14;;;;;;;;;;;;6,24
06-Sep-14;;;;;;;;;;;7,24;
07-Sep-14;;;;;;;;140,736;;;;
01-May-14;;;;;;;;;;;277,632;
08-Jun-14;;;;;;;;;;;937,608;
28-Oct-14;;;;;;;;;;104,51;;
09-Oct-14;;;;;;;;;;50,462;;
07-Aug-14;;;;;;;;520,03;;;;
30-May-14;;;;;;;;;;;;151,96
20-Nov-14;;;;;;;;;;377,902;;
31-Jul-14;;;;;;;;;;;239,7;
21-Dec-14;47,976;;;;;;;;;;;
23-Aug-14;;;;;;;;;;1142,43;;
15-May-14;;;;;;;;17,94;;;;
26-Nov-14;;;;;;;;;;;692,472;
16-Sep-14;;;;;;;;;;31,12;;
04-Oct-14;;;;;;;;392,94;;;;
22-Nov-14;;;;;;;;;;58,05;;
06-Sep-14;;;;;;;;;;;46,62;
13-Jan-14;;;;;;;;9,82;;;;
22-Oct-14;;;;;;;9,952;;;;;
20-Feb-14;;;;;;;;;;29,99;;
16-Dec-15;;;;;;;;;;;;19,44
15-Jul-15;;;;29;;;;;;;;
03-Jul-15;;;;;;;;;;7,7;;
02-May-15;;;;;;;140,52;;;;;
10-Dec-15;1056,86;;;;;;;;;;;
12-Sep-15;;;;;;;;;;1611,01;;
25-Jul-15;73,2;;;;;;;;;;;
26-Jul-15;;;;;;;;;;2503,47;;
28-Nov-15;;;;;;;;;;447,783;;
21-May-15;;;;1363,96;;;;;;;;
06-May-15;;;;;;;;;;;;270,728
21-Oct-15;;;;;;;;;;;;61,1
17-Jan-15;;;;;;;;;;;316;
07-Feb-15;;;;107,83;;;;;;;;
03-Sep-15;;;;;;;;;;1854,241;;
16-Feb-15;;;;;;;;;;323,88;;
21-May-15;;;;;;;;;;2,694;;
30-Sep-15;;;;;;;;;;298,83;;
08-Feb-15;;;;;;;;;1127,976;;;
24-Jan-15;;;;;;;;31,36;;;;
06-Dec-15;;;;;;;1284,8;;;;;
23-Sep-15;;;;;;;;;;;104,712;
13-May-15;;;;;;;;;;;10,96;
05-Aug-15;;;;;;;;;;;;158,81
12-Feb-15;1366,04;;;;;;;;;;;
19-Sep-15;;;;;;;;;;3;;
28-Dec-15;;;;;;;;;;2,61;;
13-Apr-15;;;;;;;;;;448,81;;
11-Sep-15;;;;;;;;;;;519,68;
06-May-15;;14,352;;;;;;;;;;
19-Dec-15;;;;;;;;1410,066;;;;
27-May-15;;;;;;;;232,624;;;;
19-Mar-15;;;;;;;871,8;;;;;
09-Dec-15;;;;;;;;;;334,256;;
29-May-15;;;;;;;;;;185,88;;
31-May-15;;;;;;;;;;;4317,3;
21-Nov-15;;;;;;;;;;;574,056;
08-Jul-15;;;;;;;;;;;45,584;
13-Mar-15;;;;;;;;;;;12,96;
23-Sep-15;;;;;;;;;;24,066;;
28-Aug-15;;;;;;;;;;;9,216;
02-Oct-15;;;;;;;36,364;;;;;
05-Sep-15;;;;;;;;;;239,5;;
13-Aug-15;;;;;;;;;;;562,2925;
20-Mar-15;;;;;;;;;;;31,086;
03-Feb-15;;;;;;;;;;866,4;;
16-Aug-15;;;;;;;;;;705,544;;
10-Aug-15;;;;;;;;;;;;16,218
28-Mar-15;;;;;;;;;;;92,7;
15-Aug-15;15,552;;;;;;;;;;;
05-Jun-15;75,88;;;;;;;;;;;
28-Oct-15;;;;;;;290,98;;;;;
25-Oct-15;;;;;;;;;;;;239,976
14-Nov-15;;;;;;;;;;52,136;;
05-Mar-15;;;;;;;;10,08;;;;
28-Sep-15;;;;;;;31,83;;;;;
22-Aug-15;;;;;;;;;;;;37,264
25-Nov-15;;;;;;;;;;;;392,832
29-Nov-15;;;;;;;;;;;7,434;
13-Sep-15;;;;;;;;;;;1159,06;
13-Apr-15;;;;;;;;;;;191,808;
06-Dec-15;191,82;;;;;;;;;;;
06-Feb-15;;;;;;;;;;;132,224;
14-Aug-15;125,92;;;;;;;;;;;
13-Jun-15;;224,9;;;;;;;;;;
02-Dec-15;;;;863,928;;;;;;;;
02-Apr-15;;;;;;;;;7,04;;;
24-Apr-15;;;;;;;;;;;36,24;
17-Dec-15;34,944;;;;;;;;;;;
16-Nov-15;;;;;630,024;;;;;;;
15-Nov-15;;;;;;;513,52;;;;;
05-Sep-15;;;;;;;;;;291,74;;
12-Nov-15;;;;;;;;;;;;681,432
26-Nov-15;;;;;;;;;;73,36;;
07-Sep-15;;;;;;;;;;99,156;;
14-Jan-15;;;;;;;;;;405,344;;
27-Nov-15;;3236,41;;;;;;;;;;
15-Jun-15;58,4;;;;;;;;;;;
18-Sep-15;;;;;;;;;;396;;
05-Jan-15;;;;;;;;255,904;;;;
21-Sep-15;;;;;;;;;;;115,48;
09-Apr-15;;;;;;;;;;;;215,84
09-Oct-15;;;;;;;;;;387,72;;
25-May-15;;;;;;261,1;;;;;;
06-Sep-15;;;;;;;228,586;;;;;
22-Oct-15;;;;;;;;;;;;74,32
02-Dec-15;;;;;;;;;;4,704;;
24-Dec-15;;;;;;;859,14;;;;;
11-Nov-15;;;;;;;;;;41,86;;
29-May-15;;;;;;;;;;;452,464;
26-May-15;;;;;;;;;;;;1311,97
19-Apr-15;;;;;;;;;;233,48;;
30-Dec-15;;;;;;;;;;;40,896;
30-Jun-15;;;;;;;191,88;;;;;
16-Mar-15;;;;;;;;;;;;365,44
29-Oct-15;;;;;;;;;;38,19;;
19-Sep-15;;;;;;;;;;;383,438;
17-Jun-15;;;;;;;;;91,475;;;
16-May-15;;;;;;;7,764;;;;;
16-Oct-15;;;;;;;;;;;342,76;
20-Sep-15;;;;;;;;;;254,99;;
22-Jul-15;;;;;;;;;;370,184;;
05-Nov-15;;;;10,74;;;;;;;;
02-Dec-15;;;;;;;;2145,25;;;;
29-Oct-15;;;;314,393;;;;;;;;
06-May-15;79,14;;;;;;;;;;;
31-May-15;3,282;;;;;;;;;;;
05-Oct-15;;;;;;;;;;;64,248;
19-Sep-15;;;;;;;;;;1264,14;;
15-Dec-15;;;;;;;;;;133,38;;
14-Feb-15;;;;;;;;;;264,18;;
12-Mar-15;;;;;;;;;;;;558,24
10-Jun-15;695,7;;;;;;;;;;;
26-Dec-15;;;;;;;;;;870,04;;
18-Apr-15;;;;;;;;;55,416;;;
26-Jul-15;;;10,44;;;;;;;;;
05-Sep-15;;;;;;;131,104;;;;;
24-Sep-15;;;;;;;487,22;;;;;
09-Apr-15;;;;;;;;;;17,92;;
21-Dec-15;;;;;;;;;;;;34,34
09-Nov-15;;;;;;;993,9;;;;;
02-Jul-15;;;;85,5;;;;;;;;
09-Jul-15;;;;839,944;;;;;;;;
26-Oct-15;;783,96;;;;;;;;;;
03-May-15;;;;;;;;;;187,056;;
24-May-15;;;;;;;;;;;;4,98
16-Aug-15;;;;;;;225,296;;;;;
09-Sep-15;;;;;;;;;;99,872;;
15-Sep-15;;;;;;;;;;;;25,92
14-Aug-15;;;;;;;21,504;;;;;
15-Oct-15;;;;;;;;;;305,248;;
30-May-15;;;;;;;;;;60,485;;
17-Jul-15;;;;;;;;199,18;;;;
20-May-15;;;;;;;;;;641,96;;
06-Nov-15;1120,73;;;;;;;;;;;
20-Nov-15;18,48;;;;;;;;;;;
15-Jul-15;;;;;;;;;;88,15;;
19-Jul-15;;;;;;;;;;;140,81;
02-Feb-15;;;;;;;8805,04;;;;;
05-Apr-15;;;177,78;;;;;;;;;
02-Nov-15;;;;;;;;;;;;273,59
23-May-15;;;;14,73;;;;;;;;
10-May-15;;;;;;;27,86;;;;;
31-Jan-15;;;;;;;;;;;;1396,35
10-Dec-15;;;;;;;;;;40,68;;
27-Jun-15;;;;;;;;;;135,95;;
31-Dec-15;;;;;;;;;;72,224;;
27-Aug-15;;31,008;;;;;;;;;;
17-Sep-15;;;121,78;;;;;;;;;
05-Nov-15;;;;;;;;1106,924;;;;
01-Jul-15;;;;;;;1302,83;;;;;
21-Mar-15;;;;;;;;86,45;;;;
29-Mar-15;;31,4;;;;;;;;;;
29-Nov-15;;;;;;;;2673,69;;;;
27-Aug-15;;;;;;;;;;186,54;;
20-Jul-15;;;;;;;;;;1110,5;;
11-Sep-15;;;;;;;;;67,56;;;
30-Jul-15;;;;;;;;;;732,156;;
15-Apr-15;;;;;;;81,2;;;;;
02-May-15;377,346;;;;;;;;;;;
24-Jul-15;;;;;;;;;;;324,387;
26-Nov-15;;;;;;;;;;;;5,08
05-Nov-15;;;;;;;;;;;50,496;
17-Apr-15;;;;;;;;;;158,256;;
31-May-15;;;;;;;;;;;138,53;
20-Feb-15;;;;;;;;;;16,496;;
21-Dec-15;;;;;;;;;;66,3;;
30-May-15;;;;;;;1002,7;;;;;
04-Nov-15;;;;;;;903,77;;;;;
09-Aug-15;;;;;;;;;;;;23,34
09-Mar-15;;;;;;;;;;1466,32;;
22-Oct-15;;;;;;;111,672;;;;;
22-Dec-16;;;;;;;;;;;;141,96
04-Jun-16;;;;;;;;;;12,48;;
03-Nov-16;;;;;;;;;;1030,742;;
17-Nov-16;;;;;;;;;;699,4;;
19-Nov-16;;;;;;;;;;843,84;;
25-Aug-16;;;;;;;13,152;;;;;
27-Aug-16;;;;;;;14,336;;;;;
29-Jul-16;;;;;;;61,216;;;;;
01-May-16;;;;;;;;;;3740,51;;
23-Sep-16;;;;;;;212,91;;;;;
11-Jun-16;;;;;;;;;;;;3,76
04-Nov-16;;;;;;;;;;248,396;;
05-Sep-16;;;;;;;;;;177,08;;
03-Nov-16;;;;;;;;26,4;;;;
20-Oct-16;;;;59,824;;;;;;;;
13-Oct-16;1541,51;;;;;;;;;;;
20-Nov-16;;;;;;;;;;209,568;;
13-May-16;;;;;;;;;;;20,768;
21-Jul-16;;;;;;;;;;951,98;;
18-Nov-16;;;;;;;;552,856;;;;
25-Dec-16;141;;;;;;;;;;;
12-Aug-16;;;;;;;;;;20,736;;
10-Jun-16;;;;;;;;;;;1347,52;
27-Jul-16;;;;;;;194,848;;;;;
21-Dec-16;;;;;;;23,88;;;;;
29-Nov-16;;;;;;;;;;491,888;;
15-Nov-16;;;;;;;;;;559,2;;
18-Dec-16;12,672;;;;;;;;;;;
30-Apr-16;;;;;;;;;;;26,056;
04-Dec-16;;;;;;;;;;649;;
21-Dec-16;71;;;;;;;;;;;
01-May-16;318,96;;;;;;;;;;;
01-May-16;;;;;;;;;;;;48,9
27-Oct-16;;;;;;;;;;;68,967;
19-Nov-16;;;;;;;;;;25,06;;
11-Sep-16;34,504;;;;;;;;;;;
03-Jan-16;;740,214;;;;;;;;;;
21-Oct-16;;;;;;;;;;;;729,648
27-Mar-16;;;;;;;874,8;;;;;
25-Dec-16;;;;;;;;;819,28;;;
15-Apr-16;;;;;;;;;;15,552;;
25-Aug-16;;;;;;;;;;192,16;;
10-Apr-16;;;;;;;;16,739;;;;
11-Nov-16;88,92;;;;;;;;;;;
14-Sep-16;;1017,136;;;;;;;;;;
02-Oct-16;;;;;;;;10,16;;;;
17-Dec-16;;;;;;;;;;504,9;;
25-Sep-16;;;;;;;;;;177,55;;
23-Oct-16;;;;;;;;;;863,88;;
31-Aug-16;;;;;;;;;;659,9;;
05-Aug-16;;13,76;;;;;;;;;;
29-Sep-16;;;;;;;;;;243,92;;
23-Nov-16;;;;;;;;;;105,408;;
15-Jun-16;;;;;;;;;;;2942,784;
30-Nov-16;;;;;;;;;;173,8;;
25-Jan-16;;;;;;;;;;5,67;;
05-Sep-16;;;;;;;;;;;;147,184
28-Apr-16;;;;;;;;;;28,08;;
23-Sep-16;251,64;;;;;;;;;;;
02-Apr-16;;;771,8;;;;;;;;;
03-Mar-16;;;;;;;;;;72,8;;
20-Nov-16;52,696;;;;;;;;;;;
13-Jun-16;;;;;;;;;;181,86;;
09-Apr-16;284,19;;;;;;;;;;;
20-Feb-16;;;;;;;;1245,86;;;;
16-Apr-16;;503,22;;;;;;;;;;
16-Aug-16;;;;80,564;;;;;;;;
07-Feb-16;359,97;;;;;;;;;;;
27-Jul-16;;;;;;;91,032;;;;;
21-Sep-16;;;;;;;;;;80,48;;
26-May-16;;234,2;;;;;;;;;;
24-Dec-16;;;;;;;;;;712,85;;
30-Apr-16;;;;;;;;;;;;32,088
25-Nov-16;;;;;;;;;;723,92;;
03-Jul-16;;9,552;;;;;;;;;;
11-Sep-16;;;;;;;;;;;;184,66
30-May-16;253,86;;;;;;;;;;;
30-Jun-16;;;;;;;;;;;19,52;
31-Jul-16;;;;;;;;;;;;41,424
03-Nov-16;;;;;;;;;;;12,39;
04-Feb-16;;;;;;;;;;119,178;;
03-Jun-16;;;;;;;;;;;35,168;
15-Apr-16;4,89;;;;;;;;;;;
15-Jun-16;;;;;;;;;;776,08;;
15-Jan-16;;;;;;;;;;175,086;;
28-Dec-16;;;;;;;;;;;;64,784
11-Sep-16;;;;;;;209,88;;;;;
19-May-16;;;;;;;;;;;26,16;
24-Nov-16;;;;;;;;406,94;;;;
13-Aug-16;;;;;;;;;;2382,926;;
26-Aug-16;;;;;;;;;;;;71,98
10-Jul-16;;;;;;;18,84;;;;;
03-Dec-16;;;;;;;47,992;;;;;
04-May-16;;;;;;;;;;629,86;;
07-Sep-16;;;;;;;;;;;81,568;
23-Aug-16;;;;;;;4590,344;;;;;
01-Apr-16;;127,95;;;;;;;;;;
16-Jun-16;;;;;;;740,59;;;;;
26-Sep-16;;;;;;;;;;;;419,136
30-Mar-16;;;;;;;;;;;;59,76
17-Dec-16;;;;;;;;;;544,38;;
03-Nov-16;;;;;;;16,272;;;;;
11-Apr-16;;;;;;;;;;22,744;;
27-Nov-16;;;;;;;;;;52,344;;
25-Apr-16;;;109,968;;;;;;;;;
04-Jun-16;;;;;;117,62;;;;;;
01-Aug-16;271,96;;;;;;;;;;;
31-Mar-16;;;;;;;;3098,61;;;;
27-Aug-16;;;;;;;;;;5,184;;
14-May-16;;;;;;;;;;48,69;;
11-Jun-16;;;;;;;;;;4,572;;
24-Sep-16;;;;;;;;;;;;399,53
01-Apr-16;;;;;;;;269,4;;;;
27-Jan-16;;;;;;;;22,63;;;;
09-May-16;;272,232;;;;;;;;;;
07-Dec-16;;;;;;;;;;372,64;;
16-Jun-16;;;;;;;;;;;14,016;
28-Apr-16;;;;;;;;;;751,984;;
15-Jan-16;29,664;;;;;;;;;;;
19-May-16;;;;;;;;;;2361,52;;
28-Oct-16;;;;;;;273,088;;;;;
13-Sep-16;;;;;;;;;;15,92;;
19-Sep-16;;;;;;;;;;;95,616;
19-Sep-16;;;;;;;;;;;;35,4
17-Jul-16;;;;;;;;;;7,904;;
28-May-16;;;;;;;301,96;;;;;
23-Dec-16;;;;;;;;;;303,32;;
03-Jun-16;;;;;;;;;;1111,698;;
16-Sep-16;;;;;;;;;18;;;
05-Jun-16;;;;;;;;;;;20,736;
30-Nov-16;;;;;;;;;;2165,658;;
10-Nov-16;;;;;;;;;11,52;;;
02-Nov-16;;;;;;;;3291,07;;;;
02-Dec-16;701,96;;;;;;;;;;;
12-Jun-16;;;;;;;;;;17,088;;
24-Oct-16;;;;;;;;;;11,68;;
08-Sep-16;;;220,056;;;;;;;;;
06-May-16;;;;817,829;;;;;;;;
24-Sep-16;;;;;;;253,824;;;;;
02-Apr-16;;;;;;;;;;14,94;;
22-Dec-16;;;;;;;7,824;;;;;
19-May-16;;;;;;;;342,24;;;;
15-Sep-16;;;;;;;;;;163,96;;
